JointAttention.ordinal,JointAttention.onset,JointAttention.offset,JointAttention.pJA,JointAttention.cJA,JointAttention.bids,
0,47504,50253,"1","0","0",
1,53849,62458,"1","0","0",
2,62816,68539,"0","0","1",
3,68539,71610,"0","0","1",
4,82945,85979,"0","0","1",
5,86171,89512,"1","0","0",
6,90178,92653,"0","0","1",
7,92653,106001,"1","0","0",
8,106001,109715,"0","0","1",
9,119291,125800,"0","0","1",
10,134353,138930,"0","0","1",
11,139032,143300,"1","0","0",
12,143410,148280,"0","0","1",
13,153849,158725,"1","0","0",
14,170960,174190,"0","0","1",
15,179810,191679,"0","1","0",
16,191709,192794,"0","0","1",
17,202694,227430,"0","1","0",
